id,date,description,amount
1e2315fef17c3b0f,2025-11-04,FPX-STOREHUB SDN BHD REHUB mhkkq08x MY,-32.70
9270d702a6ebb7f0,2025-11-05,GANESH PRAMOD KARUNAAutopay Card,40.90
270b1e71bceb5e0a,2025-11-06,OMISE*HEYJOM M4 PETALING JAYA MY,-55.08
7655a541a9c2b900,2025-11-14,AIA-RPS 4155910A04 KUALA LUMPUR MY,-263.33
dd42a33a6f97c303,2025-11-17,AIA HEALTH VA35551268 KUALA LUMPUR MY,-10.00
03362f2a23c4e6d7,2025-12-02,SPOTIFY M4 STOCKHOLM SE,-30.90
